No.	TATANA	B. MELAYU / B. INDO	ENGLISH	KATA DASAR (TATANA)? - \r
938	ujur, sumakit	sakit	sick	sakit
939	moduol	nyeri, sakit	painful	duol
940	pilat	luka	sore	
941	moduol	sakit	ache	duol
942	nalama	lelah, capai	weary	lama
943	napaya	letih, penat	tired	paya
944	lama	lemah	weak	
945	moduol tulang	linu	pain in the bones	duol
946	modualan do paya	pegal	stiff, painfully tired	duol
947	moonsoi rasa', mosikar	sihat	healthy	onsoi, sikar
948	nokobonsoi, intad sumakit	sembuh	recovered	bonsoi
949	madaras	kuat	strong	
950	matagap	tegap	big, husky	tagap
951	molombon	gemuk	fat	lombon
952	motukal	kurus	thin	tukal
953	dinaras	kekuatan	strength	daras
954	makatol	gatal	itchy	katol
955	kinakatan	gigitan	bite	kokot
956	kuog	kudis	scabies	
957	kurap	kaskado (?)	scaly skin disease	
958	kuris	kurap	itchy sores in skin	
959	jarawat	jerawat	pimple; acne	
960	puru	patik, penyakit puru	yaws, framboesia	
961	ambulita	panau	light spots (skin disease)	
962	sumarat sorimbutu	tegak bulu roma	goose bumps	
963	kungkung (makapal), bilulang	risa, belulang	callus	
964	kurap	mengelupas	peeled	
965	mompuru, montulang	penyakit kusta	leprosy	
966	kolomputos	bisul	boil	
967	mimpirog, gumogor	gementar	to tremble	pirog, gogor
968	gagaran do mosimuon	dingin	chill, shivering	gogor
969	gumogor	menggigil	to shiver	gogor
970	umabo, lumombon	bengkak	swelling	abo, lombon
971	kumansang, kumodou	kejang	stiff	kansang, kodou
972	simuon do arip, siludung	malaria	malaria	simu'
973	simuon do arip do utok ulu	malaria tropika	cerebral malaria	simu'
974	paningan	pusing	dizzy	paning
975	mopadi kokoboon	asam sendawa	heartburn	padi
976	naatoi nu sakit, kimoi	lumpuh	paralyzed	
977	naatoi koonsian	kelumpuhan	paralysis	atoi, ansi
978	longowon	pilek	to have, catch a cold	langou
979	mongkukul	batuk	to cough	kukul
980	soduon, sodu	tersedu	to hiccough	sodu
981	montodiso'	bersin	to sneeze	todiso'
982	sumikok	tercekik	to choke	sikok
983	ubat	ubat	medicine	
984	ogot/lopot pilat	balut	bandage	
985	tumapik	menular	contagious	tapik
986	ampus, ampusan	asma, bengik	asthma	
987	panyakit	penyakit	illness	sakit
988	paning/moduol ulu	sakit/pening kepala	headache	
989	modualan do tinoi'	sakit perut	to have a stomach ache	duol
990	sasar	cacar	smallpox	
991	udir	cacar air	chicken pox	
992	sariawan	penyakit paru-paru, TB	tuberculosis	
993	bongol	tuli	to be deaf	
994	mimang bolou	buta	to be blind	bolou
995	umulau	gila	to be crazy	ulau
996	mompudaa'	berdarah	to bleed	daa'
997	modualan do dipon	sakit gigi	to have a toothache	duol
998	simuon mantai'	demam taipus	typhoid fever	simu'
999	mogilob montoi'	penyakit taun, kolera	cholera	ilob, toi'/tai'
1000	kimpo'	timpang	limp	
1001	simuon	demam	fever	simu'
1002	mopilatan	luka	to be cut	pilat
1003	mapapandai do panyakit	ilmu penyakit	pathology	pandai
1004	umujur, sumakit	jatuh sakit	to be taken ill	ujur, sakit
1005	momorisa do panyakit	memeriksa	to give a medical examination	porisa
1006	mongubat, mopobonsoi do moduol	menyembuhkan	to cure a disease	ubat, bonsoi
1007	pogilayan nu moduol	gejala	symptom	iloi'
1008	baloi sumakit	rumahsakit	hospital	
1009	ulun sumakit	pasien	patient	
1010	panyakit mato	sakit rendang, selaput mata	conjunctivitis	
1011	naadan	pengsan	faint, unconscious	adan
1012	liningguangon	cacingan	to suffer from worms	lingguang
1013	jumadi	menjadi	to become	jadi
1014	mongkipapasi	hidup	to live	pasi
1015	mogimpapatoi	meninggal dunia	to die	patoi
1016	bangkai	mayat	corpse	
1017	mamasi	menghidupkan kembali	to revive, resuscitate	pasi
1018	moganak	melahirkan	to give birth	anak
1019	mogontian, monontinoi', mononsuang	hamil, mengandung	to be pregnant	gontian, tinoi, suang
1020	monganak kampang	hamil tak sah	illegitimate pregnancy	anak
1021	pongkuyut	bidan	midwife	
1022	moiduan, noiduan	keguguran	miscarry	idu'
1023	anak kampang	anak tak sah	illegitimate child	
1024	naanak kaa sukup bulan	lahir dini, lahir sebelum waktunya	premature birth	anak
1025	naatoi o	(telah) mati	died	atoi
1026	kapatayon	kematian, maut	death	patoi
1027	naatoi	mati	dead	atoi
1028	noidu'	keguguran	premature	idu'
1029	inanak kaa sukup bulan	lahir sebelum waktunya	premature birth	anak
1030	lumuui	berbaring	to lie down	luui
1031	marata'	rata	flat	rata
1032	lumoub, lumaub	tiarap	to lie face down	loub, laub
1033	luminggata'	telentang	to lie on back	linggata'
1034	tumogiging	miring	on one's side	togiging
1035	lumanat	belunjur	to lie at full length	lanat
1036	monungkamang	menggeletak	to sprawl	tungkamang
1037	tumudung	duduk	to sit	tudung
1038	tumudung tulid	duduk tegak	to sit up straight	tudung
1039	lumompom	bersimpuh	to sit on folded legs	lompom
1040	tumudung do miampoi tonok	duduk angkat kaki	to sit with one leg across another	tudung, ampoi
1041	tumudung sila	duduk bersila	to sit crosslegged	tudung
1042	popotudung	mendudukkan	to seat	tudung
1043	mingkakat	berdiri	to stand up	ingkakat
1044	sumingkurou	berjongkok	to squat	singkurou
1045	mundur	mundur	to back up, move back	
1046	monyurung	maju	to move forward, progress	surung
1047	umunang	menginjak	to step on	unang
1048	lumaang	melangkah	to stride, step forward	laang
1049	tumungganang	membesarkan langkah	to stride aside	tungganang
1050	popotapap do lapap	menghentakkan	to stamp	tapap
1051	gaya' nu panau	gaya berjalan	walk, gait	panau
1052	mamanau	berjalan	to walk	panau
1053	toron o	berhenti(lah)	stop, halt!	toron
1054	popotoron	berhenti	to stop	toron
