No.	TATANA	B. MELAYU / B. INDO	ENGLISH	KATA DASAR (TATANA)? - \r
1356	kiasil	untunglah	fortunately	asil
1357	nasip-nasip	kebetulan	by chance	
1358	moonsoi banar	baik sekali	very good	onsoi
1359	kiguna'	penting	important (affair)	guna'
1360	modoriwo' guang	rendah hati	meek	doriwo'
1361	maamis	manis	sweet	amis
1362	motulid guang	salih	pious, virtuous	tulid
1363	kiadat	beribadat	religious	adat
1364	koimaan	sifat	character	
1365	kinobonsoyo'	mutu	quality	bonsoi
1366	koiso kosianan	kejam	fierce, cruel	
1367	ponyukur	sederhana	simple	sukur
1368	masuaka'	sopan-santun	politeness, courtesy	suaka'
1369	kaansayan	menarik	interesting	onsoi
1370	panggalat, pongurumat	halus	refined, polite	galat
1371	momuradawan	dengan kepala dingin	temperate	
1372	mapandai	pandai	wise, clever	pandai
1373	kipandai	cerdik	wise	pandai
1374	nakal	nakal	naughty	
1375	mokoikum	keji	shameful	ikum
1376	ngaran moonsoi	nama baik	good reputation	onsoi
1377	koiso kourumatan	biadab	rude, impolite	
1378	mosumbung	bongkak, congkak	conceited	sumbung
1379	masuaka', mobiambat	ramah	friendly, intimate	suaka', ambat
1380	kumiambat	mesra	intimate	ambat
1381	kibudi	berbudi	reasonable, rational	budi
1382	ulun buntung	busuk (orang)	corrupt	
1383	mogitatabang	gotong-royong	mutual cooperation	tabang
1384	mapantor	kasar	rude	pantor
1385	maraat	jahat	cruel, wicked	raat
1386	kidusa', kidouso	berdosa	sinful	dusa', douso
1387	pangasau	ganas	savage	kasau
1388	koiso kagalatan	tidak sopan	impolite	galat
1389	sumbung	sombong	arrogant	
1390	mobintaak	murah hati	generous	taak
1391	moonsoi guang	baik hati	good-natured	onsoi
1392	morunus	tulus hati, jujur	honest	runus
1393	mobiuot	budi bahasa	courtesy	
1394	makaaso, mapuji	bangga	proud (of family, country)	aso, puji
1395	kumiambat	karib	close (friend)	ambat
1396	banar, morunus	benar	right, correct	runus
1397	poirunus, pointiru	tepat	exact	runus, tiru
1398	tunudan	sungguh	real	tunud
1399	poirunus	betul	real	runus
1400	mompobudut	membohong	to tell a lie	budut
1401	momoduung	menipu	to deceive, cheat	duung
1402	duo ulu, moduduung	seperti ular berkepala dua	two-faced	ulu, duung
1403	pointunud	saksama	accurate, right	tunud
1404	poinsala'	salah	wrong, erroneous	sala'
1405	kasalaan	kesalahan	mistake	sala'
1406	sala'	keliru	wrong	
1407	nokotunud	betul	correct	
1408	mau', masaga'	mahu	to want	saga'
1409	kaa mau', kaa masaga'	tidak mahu	to not want	
1410	monulak	menolak	to refuse	tulak
1411	kagaaban, gaab	cita-cita	goal, ideal	gaab
1412	monyongon	berhasrat	to covet	songon
1413	gumaab	berambisi	ambitious	gaab
1414	mokirayou	ingin mencari nama (minta puji)	to covet fame	rayou
1415	masuur	terkenal, masyhur	famous	
1416	misosongulun	egois	selfish	songonulun
1417	modoot	lahap	gluttonous	doot
1418	suka'	menyukai	to like	suka'
1419	maalap	dapat, boleh	able	alap
1420	kosukaan	suka akan	to be fond of	suka'
1421	kosukaanan	lebih suka	to prefer	suka'
1422	sumolon	ingin	to covet, desire	solon
1423	kasalanan	keinginan	desire	solon
1424	mokososolon	sangat menginginkan	to desire very strongly	solon
1425	kalaan	haus akan	to thirst for	kala'
1426	momantang	menghormati	to esteem	pantang
1427	poporogo	menghargai	to appreciate	rogo
1428	popoajap	mengagumi	to admire	ajap
1429	momorikot	mencapai	to reach	rikot
1430	guminawo	mencintai	to desire, love	ginawo
1431	midudurul	gemar akan	to have a passion for	durul
1432	mindurul	tamak, serakah	to be greedy for	durul
1433	mosingot	kikir	stingy	singot
1434	modoot	rangka	greedy	doot
1435	mongkimamanang	menang	to win	manang
1436	mogium do dalan (intad do kosusaan)	mengatasi (masalah)	to overcome (a problem)	ium
1437	mangala	kalah	to lose	ala
1438	mangala	mengalahkan	to beat, defeat	ala
1439	kikasanggupan, kikabulian	sanggup, mampu	capable	sanggup, buli
1440	madaras	kuat	strong	daras
1441	popobanar	boleh	allowed to	banar
1442	poingaso, poingompod	senang	happy, gay, joyful	aso, ompod
1443	maso-aso	sukacita	joyful	aso
1444	moginaso	bersenang hati	to rejoice	aso
1445	maansayan	gembira	pleased	onsoi
1446	nosukupi	puas	satisfied	sukup
1447	kkumumis	tersenyum	to smile	kumis
1448	mogirak	tertawa, ketawa	to laugh	irak
1449	poposanang do guang	menghilangkan kesusahan	to dispel sadness	sanang, guang
1450	susa' guang	susah hati	sad	susa', guang
1451	mantangi'	menangis	to cry	tangi'
1452	sumusa' guang	berdukacita	to be sorrowful	susa', guang
1453	mangkurudu'	berkabung	to mourn	rudu'
1454	toringi-ringi'	merengek-rengek	to whimper	ringi'
1455	toroong-roong	mengerang, mengeluh sakit	to groan, moan	roong
1456	masian	kasihan	pity	sian
1457	sanang guang	bahagia	happy	sanang
1458	nakaaso	sangat gembira	overjoyed	aso
1459	masanang guang	girang hati	cheerful	sanang
1460	poposanang do guang	menghibur	to comfort	sanang
1461	mompoloyou	meratap	to lament, wail	loyou
1462	monsoirak-irak	bermuka gembira	to be all smiles	irak
1463	monsokiki-kiki'	tertawa terkekek-kekek	to giggle	kiki'
1464	umaso	menikmati	to enjoy	aso
1465	tingadan	ganjaran	reward	
1466	pansayatan	lelucon	joke	sayat
1467	mokasasayat	lucu	funny	sayat
1468	maso-aso	riang	cheerful	aso
1469	sumingga	berseri-seri	to shine, radiate	singga
1470	kumorudu'	meratapi	to bewail	rudu'
1471	tosikok-sikok	tersedu-sedu	to sob	sikok
1472	boriisan romou	air matanya berlinang-linang	to burst into tears	riisan
1473	lumoyou	menangis dengan nyaring	to cry aloud	loyou
1474	poingkorudu'	muram	gloomy, sad	rudu'
1475	tumangi', kinumaus	memberengut, merajuk	to sulk	tangi', kaus
1476	guminawo	mengasihi, mencintai	to love	ginawo
1477	norindu'	jatuh cinta	to fall in love	rindu'
1478	mongondom	ingat	to remember	ondom
1479	motoluod	baik	kind	toluod
1480	mombansi'	merasa jijik	to detest	bansi'
1481	mombalasi'	mendendam	to hold a grudge	balas
1482	bansi'	benci	to hate	
1483	mapaapalad	iri hati	envious	palad
1484	mapaladan	cemburu	jealous	palad
1485	dumangki'	dengki	maliciously jealous	dangki'
1486	kikaladangan	kesal	regret; resentful	lodong
1487	pirantayan	perdamaian	peace	
1488	karantayan	damai	peace	
1489	mosianan	kasihan	compassion	sian
1490	kasianan	kasih, cinta, sayang	love	sian
1491	mitoluod	ramah	friendly, kind	toluod
1492	sumangka'	berprasangka	prejudiced	sangka
1493	mondom	rindu	longing, desire	ondom
1494	mangasau	mengganggu	to annoy	kasau
1495	papadagang	mengkhianati	to betray	dagang
1496	mokolodong	naik darah	to become angry	lodong
1497	lumodong	marah	angry	lodong
1498	mantau' do lalom guang	menyimpan perasaan	to keep feeling to oneself	tau'
1499	kaa sabar	tak sabar	impatient	
1500	kikaladangan	dongkol	angry inside	lodong
1501	poposarui do guang	biar marahnya mereda	let anger cool	sarui
1502	monginam	menggoda	to tempt, seduce	kinam
1503	nokolodong	hilang kesabarannya	lose one's temper	lodong
1504	nasakat	geram, sangat marah	to be furious	sakat
1505	sumakat	tersinggung	to be offended	sakat
1506	mongondot	menindas	to oppress	ondot
1507	mingkolos	menghina	to humiliate	kolos
1508	lumaa'	takut	afraid	laa'
1509	matalou	pengecut, penakut	coward	talou
1510	maikuman	malu	timid, shy, embarrassed	ikum
1511	mimang barani'	berani	to dare	barani'
1512	mimbabarani'	memberanikan diri	to take courage	barani'
1513	kaa lumaa'	tidak takut	not afraid	laa'
1514	barani'	gagah berani	courageous, brave	
1515	bapantang	berpantang	to abstain from	pantang
1516	mompulalaa'	mengancam	to threaten	laa'
1517	magangau	cemas	worried	gangau
1518	maikuman	malu, tersipu-sipu	timid	ikum
1519	makakagangau	khuatir	anxious, uneasy	gangau
1520	mabak-abak	gugup	nervous, panicky	abak
1521	nompuong	bingung	confused, upset	
1522	matatalou	bersemangat kambing	chicken-hearted	talou
1523	barani' mati	berani mati	audacious, not afraid of death	barani'
1524	jumajal	berkeras kepala, bandel	stubborn, obstinate	jajal
1525	tabug, pantang	tabu, pantang larang	taboo	pantang
1526	mokotigog	ngeri	horrified	tigog
1527	mogumboyo'	percaya	to trust, believe	umboyo'
1528	umboyoon	mempercayai	to be trusted	umboyo'
1529	maparu	rajin	industrious	paru
1530	panyubaan	usaha, percubaan	effort	suba'
1531	monginam	berusaha, mencuba	to try	kinam
1532	buli, maalap	mampu	able, capable	alap
1533	kaa buli, kaa maalap	tidak mampu	unable, incapable	alap
1534	matukang	pandai	skillful	tukang
1535	mapandai	cerdik, cerdas	clever, shrewd	pandai
1536	mokoduduung	licik	crafty, cunning	duung
1537	mosikap	tangkas	dexterous	sikap
1538	matiad	malas	lazy	tiad
1539	kopangada'	segan	reluctant	ada'
1540	kopangadaan	keseganan	apathy	ada'
1541	makaras	keras terhadap tugas	strict, stern	karas
1542	karaja'	tugas	task	
1543	mopapanau	menjalankan	to carry out	panau
1544	momongo	menyelesaikan	to finish	pongo
1545	momboyo', mumboyo'	taat, patuh	to obey	umboyo'
1546	mobiumboyo'	rendah hati	humble, modest	umboyo'
1547	pomantang	sopan	polite	pantang
1548	mongurumat	menghormati	to respect	urumat
1549	kopomogian	sifat baik	virtue	bagi
1550	misosondiri'	egois	selfish	sondiri'
1551	poingumboyo'	setia	faithful	umboyo'
1552	motoluod	murah hati	generous	toluod
1553	kikotoluadan	lemah lembut	kind, gentle	toluod
1554	mongampun	mengampuni	to forgive	ampun
1555	pongosian	pengasihan	mercy	sian
1556	parangai	lagak	attitude	
1557	mosumbung	sombong	arrogant	sumbung
1558	minsusumbung	menyombongkan diri	to boast	sumbung
1559	magayo ulu	besar kepala	big-headed	gayo, ulu
1560	kabansayan	kebaikan	goodness	bonsoi
1561	sususubon	hamba	servant	susub
1562	poposara	menyerah	to surrender	sara
1563	mamara'	mengatakan	to say, speak, tell	wara'
1564	moboros, mogigia'	berkata, bilang	to say	boros, gia'
1565	moguot	bertanya	to ask	uot
1566	monyimbar	menjawab	to answer	simbar
1567	mokianu	memohon, meminta	to request	anu
1568	monorima kasi', batarima kasi'	berterima kasih	to thank	torima'
1569	mogipag	memanggil	to call	ipag
1570	monyusub	memerintah	to command	susub
1571	poporati	menerangkan	to explain	rati
1572	mopoongoi	menjemput, mengundang	to invite	ongoi
1573	monyonsog	mendesak	to urge	sonsog
1574	manyarita'	menceritakan	to tell (a story)	sarita'
1575	manasiat, mamitua	menasihati	to advise	nasiat, bitua
1576	mongira', mangajar	mengajar	to teach	ira', ajar
1577	mangatawan	merundingkan, membicarakan	to discuss	tawan
1578	poposadar, popoondom	mengingatkan	to remind	sadar, ondom
1579	mopabanar	mengizinkan	to permit	banar
1580	mopokasala', monyimban	mencela	to criticize	sala,' simban
1581	mopoibu'	memarahi	to scold	ibu'
1582	mopokobudu'	mencaki-maki	to scorn, ridicule	budu'
1583	momanta	berbantah	to argue	banta
1584	mopogigiiad	menyetujui	to agree	iad
1585	magalim	menyangkal	to deny	alim
1586	popokutuk	menyumpahi, mengutuk	to put a curse on	kutuk
1587	mopotanang, mopotatap	menenangkan	to pacify	tanang, tatap
1588	mogipapakat (miampai pointau')	bercakap secara rahsia	to speak confidentially	pakat
1589	monondos	menuduh	to accuse	tondos
1590	boros	kata, perkataan	word	boros
1591	gia'	bahasa	language	gia'
1592	gia' asal	loghat, dialek	dialect	gia', asal
1593	asal	legenda, hikayat	legend	
1594	tangon	dongeng	fairy-tale	
1595	mongompuras	menyatakan	to state, clarify	
1596	dolou	suara	voice	
1597	mamajanji'	berjanji	to promise	
1598	mompobudut	berdusta, membohong	to tell a lie	budut
1599	dolou	bunyi	sound	
1600	kaabigan	bunyi bahasa, lafaz, ucapan	pronounciation	abig
1601	butok	berbual-bual, omong kosong	to chatter	
1602	sumimbar	menyahut	to reply	simbar
1603	gigiaan	ucapan	speech	gia'
1604	mimbutok	gagap	to stutter	butok
1605	mutok-butok	berkomat-kamit	to mouthe, mumbble	butok
1606	gumisak	menjerit	to scream	gisak
1607	lumuap	berteriak	to shout	luap
1608	tumangkar	bercakap dengan keras	to speak loudly	tangkar
1609	mongonos	berbisik	to whisper	konos
1610	kumiiwal	bersungut-sungut	to grumble	iwal
1611	mopokasala'	mengeluh	to complain	sala'
1612	mogodoi, rumoong	meraung, mengaduh	to moan	odoi, roong
1613	pinsil	pensil	pencil	
1614	pinsil dawat	pen(a)	pen	
1615	pen dawat	pulpen	fountain pen	
1616	pinsil warana'	pensil berwarna	colored pencil	
1617	manulis	menulis	to write	tulis
1618	manyurat	menulis surat	to write a letter	surat
1619	misurat	surat-menyurat	to correspond	surat
1620	manaip	menaip	to type	taip
1621	taip surat	mesin taip	typewriter	taip
1622	mananaip	penaip	typist	taip
1623	moporinting	mencetak	to print	rinting (?)
1624	popoabar	menerbitkan	to publish	abar
1625	abaran	terbitan	edition	abar
1626	buuk	buku	book	
1627	gia' naapal, kogigiaan	perbendaharaan kata	vocabulary	
1628	babasaan	rencana, imla	dictation	basa'
1629	kosoluraan	jilid	volume	solura'
1630	buuk paringatan	buku tulis, buku catitan	notebook	
1631	katarangan natulis	bukti tertulis	written proof	tarang
1632	buuk paringatan uodo-nodo	buku harian	diary	
1633	surat katarangan	dokumen tertulis	written document	tarang
1634	bagarayat	mencorat-coret	to scribble	garayat
1635	kopodibaan do gia'	singkatan	abbreviation	dibo'
1636	salinan maagab	naskhah	draft, rough copy	salin
1637	karatas	kertas	paper	
1638	dawat	dakwat	ink	
1639	mangarang	mengarang	to write, compose	karang
1640	karangan	karangan	composition	karang
1641	papan itom tuilsan	papan hitam	blackboard	
1642	kapur	kapur	chalk	
1643	upis nu surat	pejabat pos	post office	
1644	popoibit	mengirim	to send (letter, telegram)	ibit
1645	monorimo'	menerima	to receive (letter, telegram)	torimo'
1646	surat	surat	letter	
1647	surat badatar	surat berdaftar	registered letter	
1648	sitim	stem	stamp	
1649	sarung surat	sarung surat	envelope	
1650	lopot (pos)	bungkusan	parcel	
1651	gambar poskad	poskad	postcard	
1652	mongingibit do surat	posmen	mail carrier	ibit
1653	talipaun	telefon	telephone	
1654	taligaram	telegram	telegram	
1655	nagaam	mengecap	stamp, seal	
1656	ianan	alamat	address	
1657	saap dos	cap pos	postmark	
1658	poibitan do kapal tarabang	mel udara	airmail	ibit
1659	kutak pos	peti surat	post box	
1660	poibitan do kapal timug	mel laut	sea mail	ibit
1661	usin poibitan do pos	kiriman wang pos	postal money order	ibit, usin
1662	barang pinorinting	barang cetakan	printed matter	
1663	mongira'	mengajar	to teach	kira'
1664	popobalajar	mendidik	to educate, train	ajar
1665	anak ajaron	murid	pupil	ajar
1666	mangubas	berlatih	to practice	ubas
1667	pantingubasan	latihan	exercise	ubas
1668	buuk	buku	book	
1669	mambasa'	membaca	to read	basa'
1670	palajaran	pelajaran	lesson	
1671	pomorisaan	peperiksaan	examination	porisa'
1672	katua sikul, pirinsipol	guru besar	headmaster, principal	sikul
1673	balajar	belajar	to study	
1674	napaas	lulus	to pass	paas
1675	naratu', nopiil	tidak lulus, gagal	to fail	ratu', piil
1676	sikul	sekolah	school	
1677	sumikul	bersekolah	to go to school	sikul
1678	sikul nu ngaanak	sekolah rendah	elementary school	sikul
1679	mogonini' sokulasip	biasiswa	scholarship (money)	
1680	sikul parinta	sekolah kerajaan	government school	sikul
1681	sikul pokunsian	sekolah swasta	private school	sikul
1682	mongingira'	guru, cikgu	teacher	kira'
1683	kaajaran do unibositi	kuliah	university lecture	ajar
1684	unibositi	universiti	university	
1685	upis	pejabat	office	
1686	kusoi susumikul do masawat	mahasiswa	male student	sikul
1687	andu' susumikul do masawat	mahasiswi	female student	sikul
1688	bilik sikulan	bilik darjah, kelas	classroom	sikul
1689	papan itom	papan hitam	blackboard	
1690	mija sikul	meja tulis	desk	
1691	kurisi	kerusi	chair	
1692	kapur tulis	kapur tulis	chalk	tulis
1693	buuk pontingubasan	buku latihan	exercise book	ubas
1694	kantung	beg buku, sekolah	satchel, bag	
1695	surai dawat	tempat dakwat	inkpot	
1696	lolopot buuk	tempat buku	bookcase	lopot
1697	tinimungan buuk ololoson	perpustakaan	library	timung, olos
1698	mata palajaran	mata pelajaran	subject	
1699	basaan	bacaan	reading	basa'
1700	tulisan	tulisan	writing	tulis
1701	karangan	karangan	essay	karang
1702	ilmu kasiatan	ilmu kesihatan	hygiene	
1703	sasarita', tuturan	sejarah	history	
1704	kapandayan do koposion	ilmu hayat	biology	pandai
1705	kapandayan do pamagunan	ilmu bumi, ilmu alam	geography	pandai
1706	moguot	menyelidiki	to investigate	uot
1707	mamarisa'	memeriksa	to examine	parisa', porisa'
1708	kira-kira'	ilmu hisab	mathematics	
1709	monyukat	mengukur	to measure	sukat
1710	karaja'	pekerjaan	(manual) work	
1711	potingubasan do inan	latihan jasmani	physical education	ubas
1712	pasal do kountaban	soal hitung	math problem	pasal, untob
1713	mongapal	menghafalkan	to learn by heart	apal
1714	ukum	hukum	law	
1715	kotua jabatan	dekan	dean	
1716	bilik pangangajaran	ruang kuliah	lecture hall	
1717	mongangajar do sikul masawat	pensyarah, dosen	university lecturer	ajar
1718	pogilayan do jadi	eksperimen, percubaan	experiment	ilai'
1719	koubasanan	kebudayaan	culture	ubas
1720	alun-alun	jalan	road	
1721	alun-alun masimin	jalanraya	highway, main road	
1722	dalan mamanau	jejak	trail	
1723	manabun do alun-alun	merintangi jalan	to block the road	tabun
1724	pisimpangan	persimpangan	crossroad	simpang
1725	jambatan	jambatan	bridge	
1726	mamanau tonok	berjalan kaki	to go on foot	panau
1727	sumakoi korita'	naik kenderaan	to go by vehicle	sakoi
1728	sumakoi do kapal	naik kapal	to go by boat	sakoi
1729	mugad	berpergian	to travel	ugad
1730	barangkat, mugad	berangkat	to depart	angkat, ugad
1731	rumikot	tiba, sampai	to arrive	rikot
1732	isan alun-alun	pinggir jalan	roadside	
1733	napalid	salah jalan	to lose one's way	palid
1734	korita', kurita'	kenderaan	vehicle	
1735	bisikal	basikal	bicycle	
1736	angkul	kereta	cart	
1737	baas	bas	bus	
1738	jiip	jip	jeep	
1739	motokar siwa', tiksi	taksi	taxi	
1740	tarak	trak	truck	
1741	mutusikol	motosikal	motorcycle	
1742	motokar	motokar	automobile	
1743	ruda'	roda	wheel	
1744	tayor	tayar	tire	
1745	kapal tarabang	kapalterbang, pesawat terbang	airplane	
1746	padang kapal tarabang	lapangan terbang	airport	
1747	kapal, podou	kapal	boat	
1748	kapal layag	kapal layar	sailboat	
1749	podou monini'	perahu	canoe	
1750	rakit	rakit	raft	
1751	dayung	dayung	oar	
1752	mimbasi	berdayung	to row	basi
1753	palabuan	pelabuhan	port	
1754	layag	layar	sail	
1755	sau'	sauh, jangkar	anchor	
1756	kamudi	kemudi	rudder, steering wheel	
1757	mangangamudi	pemandu (kereta), drebar	driver	kamudi
1758	manunumpang	penumpang	passenger	tumpang
1759	barang-barang	barang-barang, bagasi	baggage	
1760	kabun, pantatanaman	kebun	garden, plot	tanom
1761	ranau	sawah	wet field	
1762	motidong, pogumaan	ladang	dry field	tidong, umo
1763	managad	menebang pokok	to chop down trees	tagad
1764	sakot jangkou	rumput liar	weeds	
1765	momoruak, momolubang	menggali	to dig	ruak, lubang
1766	mantanom	menanam	to plant	tanom
1767	monuung, mongomot	penuaian, panen	harvest	tuung, omot
1768	mongupu'	memetik	to pick	upu'
1769	batang bilod, batang sakot	jerami, batang padi	stubble, straw	
1770	mamaradu'	membajak	to plow	radu'
1771	radu'	bajak	plow	
1772	manyangkut	mencangkul	to hoe	sangkut
1773	mangakai, manyurud	menggaruk	to rake	kakai, surud
1774	pakakabun	petani	farmer	kabun
1775	tana' maparu	subur	fertile	
1776	pamamaru do tana'	pupuk	fertilizer	paru
1777	andab, kiuk	hama	plant disease, pest	
1778	linsou	biji	seed	
1779	mongambur	menabur	to sow	ambur
1780	baris	deretan, baris	row	
1781	mamarun	memangkas, mencantas	to prune	parun
1782	sinarok	semai	seedling	sarok
1783	panyarakan	persemaian	seedbed, nursery	sarok
1784	sirang	petak	section of a field	
1785	monyungug	menyiram	to spray, sprinkle	sungug
1786	nalai'	layu	withered	lai'
1787	noiangan	disiangi	weeded	iang
1788	mongiang	menyiangi	to weed	iang
1789	mongomot, monuung	memungut	to harvest	omot, tuung
1790	poposasad	merambat	to spread	sasad
1791	mongubul	mencabut	to pull	ubul
1792	parit ponimugan	parit, taliair	irrigation canal	
1793	binatang	jalur	furrow	batang
1794	tana'	tanah	soil	
1795	monombusak	berkembang	to bloom	busak
1796	sumundu	tumbuh	to grow	sundu
1797	mongoi pagapon	mencari ikan	to go fishing	apon
1798	magapon	memancing	to fish with a line	apon
1799	angguran apon	tangkai pancing	fishing rod	apon
1800	pakarang	nelayan	fisherman	karang
1801	bakarang do kana'	menangkap ikan	to catch fish	karang
1802	upan	umpan	bait	
1803	atuk	mata kail	fish hook	
1804	mantubo	meracuni ikan	to poison fish	tubo
1805	lumban	bubu, lukah	types of fishtrap	
1806	mantaan do lumban	memasang lukah	to set a fishtrap	taan
1807	sawak	keranjang ikan	fish basket	
1808	momubus do lumban	mengosongkan lukah	to empty out fishtrap	bubus
1809	rambat	jala, jaring	fish net	
1810	pukot, ansau	pukat	large fish net	
1811	tampuling	penikam	spear	
1812	obon	bendungan, empangan	dam	
1813	mogobon	mengempang, membendung	to dam up	obon
1814	bolot	belot	a kind of fishtrap	
1815	kilung	belot	a kind of fishtrap	
1816	mogasu	berburu	to go hunting	asu
1817	asuon, inasuan	binatang buruan	game	asu
1818	magagasu, panyambang	pemburu	hunter	asu, sambang
1819	magalou	mengejar	to hunt, stalk	alou
1820	mogupan	memikat	to lure	upan
1821	upan	umpan	bait	
1822	mongurung	mengepung	to round up	kurung
1823	monusuk	menusuk	to pierce	susuk
1824	moniru'	kena	to hit (target)	tiru'
1825	naawos	tidak kena	to miss	awos
1826	mamatoi	membunuh	to kill	patoi
1827	momilat	melukai	to wound	pilat
1828	lungkasip	perangkap	trap	
1829	kurungan	sangkar	cage	kurung
1830	pana'	panah	bow and arrow	
1831	damok	anak panah	arrow	
1832	baug	ibu panah, busur	bow	
1833	ulu damok, ulu pana'	kepala panah	arrowhead	
1834	damok kipalig	panah beracun	poisoned arrow	
1835	mamana'	melepaskan panah	to shoot an arrow	pana'
1836	mamadil	menembak	to shoot (firearm)	badil
1837	sinapang	senapang, bedil	gun, rifle	
1838	momunong	membidik	to aim	punong
1839	mamagakut do baug	memasang tali busur	to string a bow	gakut
1840	mopapana'	melepaskan busur	to release bow	pana'
1841	mongansang do baug	menarik busur	to tense a bow	ansang
1842	andus; tampuling	tombak, lembing	spear	
1843	monokon	menombak	to spear	tobok
1844	monyuling	lastik, katapel	slingshot	
1845	pisau	pisau	knife	
1846	mongamuk	menikam	to stab	amuk
1847	sandung	parang	machete, bushknife	
1848	asu pagagasu	anjing pemburu	hunting dog	asu
1849	sinjata'	senjata	weapon	
1850	tinggom	ternak	livestock	
1851	moninggom	beternak	to take care of livestock	tinggom
1852	kurungan	kandang	house for animal	kurung
1853	kurungan manuk	kandang ayam	chicken coop	
1854	monyumad	memberi makan	to feed	sumad
1855	momaga' do susu	memerah susu	to milk	paga'
1856	mongubul do bulu	mencabut bulu	to pluck	ubul
1857	mongikis, momuguk	mencukur	to shear	kikis, buguk
1858	mantamong do	menggembalakan	to watch, shepherd	tamong
1859	kawan, panon	kawanan	herd	
1860	kambing	kambing	goat	
1861	sapi'	lembu, sapi	cow, cattle	
1862	kambing biri-biri	kambing biribiri, domba	sheep	
1863	bogok	babi	pig	
1864	kuda'	kuda	horse	
1865	titinggomon piaraan	piaraan	domesticated animal	tinggom
1866	antalawan, jantan	jantan	male (animal)	antalou
1867	andu', maganak	betina	female (animal)	anak
1868	magaganak	induk	mother animal	anak
1869	sapi' sangawan	sapi jantan	bull	
1870	lulu-luluan	binatang, haiwan	animal	
1871	jongkom	kuku	hoof	
1872	kambing sangawan	bandut	ram, billy goat	
1873	mongkotop	merumput	to graze	kotop
1874	pakakatapan	padang rumput	pasture	kotop
1875	monyumbali	menyembelih	to slaughter	sumbali
1876	rami	rumput kering, jerami	hay	
1877	pagar	pagar	fence	
1878	lios, kutu	kutu caplak, sengkenit	tick	
1879	duktur binatang	doktor haiwan	veterinarian	
1880	sakit jongkom om kabang	penyakit mulut dan kuku	hoof and mouth disease	
1881	maganak, mamabo'	biak	fertile	anak, babo'
1882	mogontian	bunting	pregnant (animals)	
1883	mogunggali'	mengebiri	to castrate	unggali'
1884	mapababo'	perkawinan	breeding	babo'
1885	dawai kidui'	dawai duri, kawat berduri	barbed wire	dui'
1886	mangasa'	mengasah	to sharpen	asa'
1887	maladom	tajam	sharp	ladom
1888	matumpol	tumpul	blunt	tumpol
1889	pisau	pisau	knife	
1890	pisau lipaton	pisau lipat	pocket knife	
1891	pononotok	golok	chopping knife	totok
1892	boor	bor	drill, brace and bit	
1893	supit basi'	kakaktua	pliers	
1894	andus, tampuling	tombak	spear	
1895	sandung	parang	bush knife, machete	
1896	kapak	kapak	axe, adze	
1897	ulu sandung	tangkai, gagang	handle	
1898	tantaran kapak	tangkai kapak	handle	
1899	ladom	mata pisau	blade	
1900	pagung	punggung pisau	back of knife	
1901	sikup	sekop	spade, shovel	
1902	landasan	landasan besi	anvil	
1903	kokorob	arit, sabit	sickle	korob
1904	sangkut	cangkul	hoe	
1905	tukul	tukul, pemukul, martil	hammer	
1906	paku'	paku	nail	
1907	sikurup	skru	screw	
1908	garagadi	gergaji	saw	
1909	pomamapanan	penggergajian	sawmill	papan
1910	sangkal	gandin, palu kayu	mallet	
1911	paat	pahat	chisel	
1912	supit basi'	tang	tongs	
1913	gunting	gunting	scissors	
1914	pogugubul do sikurup	obeng, pemutar skru	screwdriver	ubul
1915	kikir	kikir	file	
1916	katam	ketam	plane	
1917	pomumuar do tana'	penggaruk tanah	rake	
1918	pakakas	perkakas	tools	
1919	kakapu	sapu	broom	
1920	sikuir	siku-siku	carpenter's square	
1921	manambir	menjahit	to sew	tambir
1922	injin panambir	mesin jahit	sewing machine	tambir
1923	monombong	menambal	to patch	tombong
1924	monyalup	menyulam	to embroider	salup
1925	monimpukul	merajut	to knit, crochet	timpukul
1926	monyulug	menjelujur	to sew loosely	sulug
1927	tukang jahit	tukang jahit	tailor, seamstress	
1928	momolundun	mengelim	to hem	lundum
1929	monaajo	menisik, memperbaiki	to mend	taajo
1930	ruak	lobang	hole	
1931	nourak, nokinis	koyak, sobek, robek	torn	urak, kinis
1932	momitor	memintal	to spin (thread)	pitor
1933	pomimitor	alat pemintal	spinning wheel	pitor
1934	gantian	benang	thread	
1935	jarum	jarum	needle	
1936	jarum sikat	jarum rajut	knitting needle	
1937	mongintal	membuat tali	to make rope	intal
1938	kumamban	butang; kancing	button; hook, fastening	
1939	mamatu	menenun	to weave (cloth)	batu
1940	mamatu do ikam	menganyam	to weave (baskets/mats)	batu
1941	balikat, bakul, balatak	keranjang	basket	
1942	juli'	beg	bag	
1943	pomotuan	penganyaman keranjang	basketry	batu
1944	tali, kalat	tali	string, rope	
1945	momilos do tali/kalat	memilin tali	to twist string	pilos
1946	gakut abuk	pita	ribbon	
1947	gunting	gunting	scissors	
1948	konoon	kain	cloth	
1949	kapas	kapas	cotton	
1950	balikat	raga	basket (for pig/heavy loads)	
1951	bakul	bakul	basket for padi	
1952	balatak	raga	shopping basket	
1953	tataun	kayu	wood	
1954	tukang kayu	tukang kayu	carpenter	
1955	ponyusuk	baluk	beam (of wood)	
1956	papan	papan	plank	
1957	rigi	tiang	pole	
1958	tataun balian	kayu besi, belian	ironwood	
1959	kuda-kuda	kuda-kuda	trestle, sawhorse	
