\lx,\ps,\gm,\ge,\cf,\rt,\sy,\sy,\z_manual_check
tinuong,n,awan,raincloud,,,,,
dasam,n,hujan,rain,,,,,
matuong,n,awan hitam,dark cloud,,,,,
boluntung,n,pelangi,rainbow,,,,,
planit,n,planit,planet,,,,,
ambun,n,kabut,"mist, fog",,,,,
mato odou tolonon,n,gerhana matahari,solar eclipse,tolon,,,,
bulan tolonon,n,gerhana bulan,lunar eclipse,tolon,,,,
bulan tawang,n,bulan purnama,full moon,,,,,
katang,n,bulan sabit,crescent moon,,,,,
bulan tonob,n,bulan gelap,dark of the moon (new moon?),,,,,
bulan kipayung,n,lingkaran cahaya bulan,lunar halo,,,,,
rimbutuon,n,gugusan bintang,constellation (stars),,,,,
pupuruh,n,,group of 7 stars (Great Bear ?) - Ursa Major (?),,,,,
rimbutuon balatik,n,,arrow stars (name:?),,,,,
dasam,n,hujan,rain,,,,,
mamaris,n,gerimis,drizzle,,,,,
taduan dasam,n,hujan reda,end of rain,tadu,,,,
ribut,n,angin,wind,,,,,
ribut daras,n,angin ribut,windstorm,,,,,
mamparibut,n,badai,rainstorm,ribut,,,,
tinggoron,n,guntur,thunder,,,,,
musim,n,musim,season,,,,,
dasam dangan ribut,n,hujan ribut,storm,,,,,
mandasam,n,musim hujan,rainy season,dasam,,,,
mamparibut,n,musim berangin,stormy season,ribut,,,,
ganit,n,kilat,lightning,,,,,
malasu',,panas,hot,lasu',,,,
masarui,,dingin,cold,sarui,,,,
masimu',n,sejuk,cool,simu',,,,
liud,n,banjir,flood,,,,,
malasu',n,hangat,warm,lasu',,,,
mogodou,n,kemarau,drought,odou,,,,
tangadou,n,siang,noon,odou,,,,
duang odou,n,waktu siang,during the day,,,,,
jaam,n,jam,hour,,,,,
satanga odou,n,setengah hari,half-day,,,,,
masuab,n,pagi,morning,suab,,,,
milalangga',n,subuh,dawn,langga',,,,
awal-awal milalangga',n,pagi-pagi benar,early in the morning,,,,,
milalangga',n,dinihari,2-4 am,,,,,
sumilau odou,n,matahari terbit,sunrise,silau,,,,
malangga',,terang,light,langga',,,,
masuab,n,agak siang,mid-morning,suab,,,,
tampak odou,n,tengahari,(high) noon,,,,,
pulid odou,n,siang,early afternoon,,,,,
gumoi',n,petang,late afternoon,goi',,,,
tumonob odou,n,matahari turun/terbenam,sunset,tonob,,,,
rumondom,n,menjadi gelap,darkening,rondom,,,,
morondom banar,,sangat gelap,very dark,,,,,
morondom,n,malam,night,rondom,,,,
duong morondom,n,pada malam hari,at night,,,,,
tanga' morondom,n,tengah malam,midnight,,,,,
do koniab i,n,kelmarin dahulu/dulu,day before yesterday,,,,,
nataluan o,n,tiga hari yang lalu,three days ago,talu,,,,
nabuubuoi o,n,beberapa hari yang lalu,the other day,buoi,,,,
do goi' i,,"kelmarin, semalam",yesterday,,,,,
do morondom i,n,"malam semalam, tadi malam",last night,,,,,
morondom do koniab i,n,kelmarin dahulu malam,night before last,,,,,
do odou diti,n,hari ini,today,,,,,
suab,n,"esok, besok",tomorrow,,,,,
pulid odon do suab,n,(b)esok petang,tomorrow afternoon,,,,,
pulid odou diti,n,petang ini,this afternoon,,,,,
lapas duan kataluan,n,beberapa hari kemudian,several days later,,,,,
suab miso,n,lusa,day after tomorrow,,,,,
suab samaman,n,(b)esok lusa,2 days after tomorrow,,,,,
bulan,n,bulan,month,,,,,
musim,n,musim,season,,,,,
do bulan loid i,n,bulan yang lalu,last month,,,,,
timpuunon,n,awal bulan,beginning of the month,,timpuun nu bulan,,,
bulan diti,n,bulan ini,this month,,,,,
bulan miso,n,bulan depan,next month,,,,,
taun,n,tahun,year,,,,,
taun loid i,n,tahun yang lalu,last year,,,,,
taun diti,n,tahun ini,this year,,,,,
taun miso,n,tahun depan,next year,,,,,
do timpuun i,n,pada permulaan,in the beginning,,,,,
nabuoi o,n,"dahulu, dulu",long ago,buoi,,,,
do loid i,n,zaman dahulu,ancient times,,,,,
koiso (ko'iso?),,pertama,first,,,,,CHECK_LX
do mulaan,,"dahulu, dulu",formerly,,,,,
pogulu' (kaa po),n,sebelum,before,,,,,CHECK_LX
do singkoit,,sekarang,now,,,,,
ontok do singkoit,n,zaman sekarang,these days,,,,,
pogulu' mu mongoi,n,sebelum engkau pergi,before you go,,,,,
sabantar,,sebentar lagi,in a moment,,,,,
do dino i,,baru saja,just now,,,,,
lapas,n,sesudah,after,,,,,
do touri,n,kemudian,"later on, then",,,,,
air po,n,akhirnya,eventually,,,,,
awal,,terlalu cepat; awal,early,,,maawal,,
maawal,,terlalu cepat; awal,early,,,awal,,
lambat,,terlambat,late,,,natauri,,
natauri,,terlambat,late,,,lambat,,
intob odou,n,setiap hari,every day,,,,,
soumur-umur,n,sepanjang hari,all day,,,,,
maagab,,segera,immediately,agab,,,,
agaban,n,segerakan,soon to,,,,,
salalu',,selalu,always,,,,,
masarok,,sering,often,sarok,,,,
jarang,n,jarang,seldom,,,,,
saumur-umur,n,selamanya,forever,,,sabuubuoi,,
sabuubuoi,n,selamanya,forever,,,saumur-umur,,
matuo,,tua,old,tuo,,,,
komotutuaan,n,kuno,ancient,tuo,,,,
baagu,,baru saja,new,,,,,
mabuoi,n,lama,long time,,,,,
sabantar,n,sebentar,short time,,,moduruk,,
moduruk,n,sebentar,short time,,,sabantar,,
ari bulan,n,penanggalan,calendar,,,,,
ari bulan Silam,n,penanggalan hijrah,Islamic calendar,,,,,
jaam,n,jam,hour,,,,,
minit,n,minit,minute,,,,,
titik,n,saat; detik,second,,,,,
jaam,n,jam,clock,,,,,
jaam longon,n,jam tangan,wrist watch,,,,,
