\lx,\ps,\gm,\ge,\cf,\rt,\sy,\sy,\z_manual_check
buu barasan,n,kura-kura darat,tortoise,,,,,
tambuakar (do laut),n,ular naga,dragon (in sea),,,,,CHECK_LX
naga' (do lalom tana'),n,ular naga,dragon (in earth),,,,,CHECK_LX
sawong,n,biawak,"iguana, monitor-lizard",,,biawak,,
biawak,n,biawak,"iguana, monitor-lizard",,,sawong,,
asu,n,anjing,dog,,,,,
tikus nini',n,tikus,mouse,,,,,
tikus gayo,n,tikus besar,rat,,,,,
tikus timug,n,tikus air,muskrat,,,,,
bogok,n,babi,pig,,,,,
bakas,n,babi hutan,"boar, wild pig",,,,,
tambang,n,rusa,deer,,,,,
tikus balanda',n,"kelinci, tikus belanda",rabbit,,,,,
kuda',n,kuda,horse,,,,,
sapi' baganak,n,"lembu, sapi",cow,,,,,
anak sapi',n,anak sapi,calf,,,,,
kambing,n,kambing,goat,,,,,
palanuk,n,"pelanduk, kancil",mousedeer,,,,,
kara',n,"kera, monyet",monkey,,,,,
using,n,kucing,cat,,,,,
kambing biri-biri,n,"biri-biri, domba",sheep,,,,,
anak kambing biri-biri,n,anak domba,lamb,,,,,
basing,n,"bajing, tupai",squirrel,,,,,
gabuk,n,baruk,"macaque, big brown monkey",,,,,
munsang,n,musang,civet-cat; fox,,,,,
inggoluton,n,tupai kerawak,black squirrel,,,,,
manggas,n,tupai tanah,brown (big) squirrel,,,,,
langa',n,tupai terbang,flying squirrel,,,,,
silou ikiu,n,"bajing tanah, tupai tanah",chipmunk,,,,,
karabau,n,kerbau,water buffalo,,,,,
asu timug,n,"anjing air, berang-berang","beaver, otter",,,,,
tikus balanda',n,marmut,guinea pig,,,,,
landak,n,landak,porcupine,,,,,
bolukun,n,"landak semut, tenggiling",anteater,,,,,
andayutung,n,kongkang,sloth,,,,,
lulu kikarung,n,binatang berkantung,marsupial,,,,,
kangaru,n,kanggaru,kangaroo,,,,,
bangkawot,n,"keluang, kalung","flying fox, bat",,,,,
pungit,n,kelawar,small bat,,,,,
totokinon,n,kanggaru kecil,tree kangaroo,,,,,
limbata',n,lintah,water leech,,,,,
limbutang,n,pacat,jungle leech,,,,,
ingkalamaai,n,"lipan, kelabang",centipede,,,,,
kilau,n,semut,ant,,,,,
langau,n,lalat,fly,,,,,
namuk,n,nyamuk,mosquito,,,,,
lipos,n,lipas,cockroach,,,,,
ingkakalawa',n,labah-labah,spider,,,,,
impopoluu,n,kala jengking,scorpion,,,,,
kutu,n,kutu,louse,,,,,
kapu,n,belalang,grasshopper,,,,,
surun,n,"penyengat, tebuan",wasp,,,boluug,,
boluug,n,"penyengat, tebuan",wasp,,,surun,,
sapuon,n,"lebah, tawon",bee,,,,,
kuliambang,n,rama-rama; kupu-kupu,butterfly,,,,,
rangit,n,"agas, rengit","gnat, sand-fly",,,,,
didipot,n,"kelip-kelip, kunang-kunang",firefly,,,,,
erik-erik,n,jengkerik,cricket,,,,,
boyon,n,"cengkadak, belalang sentadu",praying mantis,,,,,
langau,n,langau,housefly,,,,,
lingguang,n,cacing,worm,,,giuk,,
giuk,n,cacing,worm,,,lingguang,,
lingguang,n,cacing tanah,earthworm,,,,,
giuk,n,larva,"larva, flies' eggs",,,,,
giuk poingkuluput,n,tempayak,"grub, larva",,,,,
bangking,n,kutu busuk,bedbug,,,,,
anai-anai,n,"anai-anai, rayap",termite,,,,,
giuk ulod,n,ulat,caterpillar,,,,,
buong,n,kumbang,beetle,,,linggaung,,
linggaung,n,kumbang,beetle,,,buong,,
kuliambang monini',n,ngengat,moth; silverfish,,,,,
inan,n,"tubuh, badan",body,,,,,
ansi daging,n,daging,flesh,,,,,
lunok,n,lemak,fat,,,,,
daa',n,darah,blood,,,,,
kungkung,n,kulit,skin,,,,,
abuk,n,bulu,body hair,,,,,
tulang,n,tulang,bone,,,,,
langaban,n,sendi,joint,,,,,
utok,n,"sumsum, isi tulang",marrow,,,,,
urat,n,urat darah halus,vein,,,,,
ansi kosot,n,urat daging,"tendon, sinew",,,,,
moginampus,,bernafas,to breathe,ampus,,,,
moguab,,menguap,to yawn,guab,,,,
moninggorok,,mendengkur,to snore,gorok,,,,
umos,n,"peluh, keringat",sweat,,,,,
ulu,n,kepala,head,,,,,
kurungkum,n,tengkorak,skull,,,korungkum,,
korungkum,n,tengkorak,skull,,,kurungkum,,
abuk,n,rambut,hair,,,,,
uwan,n,uban,grey hair,,,,,
abuk ikal,n,keriting,frizzly hair,,,,,
lasak,n,"botak, gondol",bald,,,,,
manyudai,,menyisir,to comb,sudai,,,,
nosusot,n,kusut,uncombed,susot,,,,
nabuguk,n,gondol,shaven head,buguk,,,,
sudai,n,sisir,a comb,,,,,
dapas,n,muka,face,,,,,
taud,n,dahi,forehead,,,,,
utok,n,otak,brain,,,,,
bingal,n,pipi,cheek,,,,,
mato,n,mata,eye,,,,,
bulu mato (kirop mato?),n,bulu mata,eyelash,,,,,CHECK_LX
bulu kudou,n,"alis mata, bulu kening",eyebrow,,,,,
linsou mato,n,biji mata,pupil,,,,,
adung,n,hidung,nose,,,,,
batang adung,n,batang hidung,bridge of nose,,,,,
ruak adung,n,lubang hidung,nostril,,,,,
montongos,,membersihkan hidung,to blow nose,tongos,,,,
tolingo',n,telinga,ear,,,,,
lanai,n,tahi telinga,ear wax,,,,,
bibir,n,bibir,lip,,,munung,,
munung,n,bibir,lip,,,bibir,,
munung,n,bibir atas,upper lip,,,,,
janggut do munung,n,kumis,moustache,,,,,
janggut,n,janggut,beard,,,,,
kabang,n,mulut,mouth,,,,,
roo,n,rahang,jaw,,,ajai,,
ajai,n,rahang,jaw,,,roo,,
manutub do munung,,menutup mulut,to shut mouth,tutub,,,,
tumingkabang,,menganga,to open mouth wide,kabang,,,,
dila',n,lidah,tongue,,,,,
roo (rooh?),n,dagu,chin,,,,,CHECK_LX
gowu,n,air liur,"saliva, mouth juices",,,,,
iwog langou,n,air ludah,"saliva, phlegm",,,,,
dipon,n,gigi,tooth,,,,,
taring dipon,n,gigi seri,incisor tooth,,,,,
bagang dipon,n,gigi geraham,molar tooth,,,,,
mongokot,,menggigit,to bite,kokot,,,,
manyapa',n,mengerat,gnaw,sapa',,moguus,,
moguus,n,mengerat,gnaw,guus,,manyapa',,
manyapa',,mengunyah,to chew,sapa',,,,
monolon,,menelan,to swallow,tolon,,,,
monyiop,,menghisap,to suck in mouth,siop,,,,
mogiwog,,meludah,to spit,iwog,,,,
popoiwog,,meludahkan,to spit out,iwog,,,,
tumondila',,menjulurkan lidah,to stick out tongue,dila,,,,
monyosop,,mengucup,to suck hard,sosop,,,,
mongobor,,mengunyah makanan yang keras,to break with teeth,obor,,,,
liog,n,leher,neck,,,,,
tantalanan,n,"tenggorok, kerongkong",throat,,,,,
batang/puun liog,n,pangkal tenggorokan,larynx,,,,,CHECK_LX
buku tantalanan,n,gondok,goiter,,,,,
magansul,,bersiul,to whistle,ansul,,,,
limbawo,n,bahu,shoulder,,,,,
likud,n,belakang,back,,,,,
tiagang,n,tulang rusuk,rib,,,,,
tulang likud,n,"tulang belakang, tulang punggung",backbone,,,,,
kangkab,n,dada,chest,,,,,
titi,n,buah dada,female breast,,,,,
monyiop,,menghisap,to suck,siop,,,,
poposusu,,menyusui,to suckle,susu,,,,
undu-undu',n,jantung,heart,,,,,
opos,n,paru-paru,lungs,,,,,
angkayau,n,hati,liver,,,,,
isou-isou,n,"buah pinggang, ginjal",kidney,,,,,
arip,n,"limpa, kura",spleen,,,,,
bungkuk,n,perut,abdomen,,,,,
pusod,n,pusat,navel,,,,,
awak,n,pinggang,waist,,,,,
tabing,n,pinggul,hip,,,,,
puun pooh,n,lipat paha,groin,,,,,
ribuson gayo,n,"usus, tali perut",intestines,,,,,
ribuson nini',n,usus kecil,small intestine,,,anak ribuson,,
anak ribuson,n,usus kecil,small intestine,,,ribuson nini',,
kagayaan,n,perut,stomach,,,,,
ribuson gayo,n,usus besar,large intestine,,,,,
buku ribuson,n,"perut buta, usus buntu",appendix,,,,,
katung,n,pantat,buttock,,,busul,,
busul,n,pantat,buttock,,,katung,,
busul,n,"dubur, jubur",anus,,,tatayan,,
tatayan,n,"dubur, jubur",anus,,,busul,,
sumabu,,"kencing, buang air kecil",to urinate,,,sasabu,,
sasabu,,"kencing, buang air kecil",to urinate,,,sumabu,,
tatai',n,"tahi, kotoran",feces,,,,,
tumai',,"buang air besar, berak",to defecate,tai,,,,
tali,n,"zakar, pelir",penis,,,,,
antalou,n,kantung kemaluan lelaki (buah zakar),testicles,,,,,
ponantinaian,n,"rahim, kandungan",womb,tinai',,,,
tinai(')(h)?,n,,abdomen??,,,,,CHECK_LX
polikok,n,ketiak,armpit,,,polikoyok,,
polikoyok,n,ketiak,armpit,,,polikok,,
puun longon,n,lengan,upper arm,,,,,
longon,n,tangan,hand and lower arm,,,lunggayan,,
lunggayan,n,tangan,hand and lower arm,,,longon,,
longon idis,n,tangan kanan,right hand,,,,,
longon ibang,n,tangan kiri,left hand,,,,,
siku',n,siku,elbow,,,,,
longon bantukan,n,pergelangan tangan,wrist,,,,,
palad,n,tapak/telapak tangan,palm,,,,,
jari,n,jari,finger,,,tunturu',,
tunturu',n,jari,finger,,,jari,,
niningkis,n,kelingking,little finger,,,titingkin,,
titingkin,n,kelingking,little finger,,,niningkis,,
susulungan,n,jari manis,ring finger,,,,,
jari tanga,n,jari hantu,middle finger,,,,,
tutuduk,n,jari telunjuk,forefinger,,,,,
pangina',n,ibu jari,thumb,,,,,
sindulu,n,kuku,nail,,,sondilu',,
sondilu',n,kuku,nail,,,sindulu,,
atad,n,tumit,heel,,,,,
lapap,n,tapak kaki,sole,,,,,
baya layap,n,"jijak kaki, bekas tapak kaki",footprint,,,,,
batis,n,betis,calf,,,,,
atud,n,lutut,knee,,,,,
poo (pooh?),n,paha,"thigh, upper leg",,,,,CHECK_LX
bangkur,n,kaki,"foot, lower leg",,,,,
urat,n,urat,"tendon, vein",,,,,
konol,n,otot,muscle,,,,,
sisiling atud,n,tempurung lutut (patella),knee cap (patella),,,,,
+tonok? pampangil?,,,,,,,,CHECK_LX
mongkirongog,,mendengar,to hear,rongog,,,,
poporongog,,mendengarkan,to listen,rongog,,,,
nokorongog,n,terdengar,audible,rongog,,,,
mononsong,,menyumbat telinga,to plug one's ears,,sonsong do tolingo',,,
bongol,,tuli,deaf,,,,,
mogilong,,melihat,to see,ilong,,,,
milong,,menonton,to watch (performance),ilong,,,,
monyolong,,menatap,to stare,solong,,,,
mogimpura',,memperhatikan,to look at closely,impura',,,,
monyulilit,,melirik,to steal a glance at,sulilit,,,,
mongoili,,melihat sekilas,to glance at,koili,,,,
moginilong,,melihat-lihat,to look around,ilong,,,,
mogiginilong,,memata-matai,to spy on,ilong,,,,
mogium,,mencari,to look for,ium,,,,
bolou,,buta,blind,,,,,
marabun kokitanan,,rabun dekat,short-sighted,rabun,,,,
mato juling,n,juling,crosseyed,,,,,
tumingkodom,,menutup mata,to shut eyes,tingkodom,,,,
sumikalat,,membuka mata,to open eyes,sikalat,,,,
motarang,,melihat dengan jelas,to see clearly,,tarang kokitanan,,,
mongijop,,mengedipkan mata,to wink,kijop,,,,
mangama',,meraba,to touch,kama',,,,
orodon,n,mati rasa,numb,,,,,
makasar,,kasar,rough,kasar,,,,
malami',n,lembut,"soft, tender",lami',,,,
mokodou,,keras,hard,kodou,,,,
malamog,,licin,smooth,lamog,,,,
makalandai,n,berlanyau,slimy,landai,,,,
makakalandai,n,mengelincirkan,slippery,landai,,,,
molosok,n,licin,slimy,losok,,,,
mangatawan,,tahu,to know,tawan,,mapandayan,,
mapandayan,,tahu,to know,pandai,,mangatawan,,
natawanan o,,tahu dengan baik,to know thoroughly,tawan,,napandayan o,,
napandayan o,,tahu dengan baik,to know thoroughly,pandai,,natawanan o,,
momikir,,fikir,to think,pikir,,,,
mangaga',,kira,"to guess, reckon",aga',,mongira',,
mongira',,kira,"to guess, reckon",kira',,mangaga',,
mangarap,,harap,to hope,arap,,,,
mongondom,,ingat,to remember,ondom,,,,
popoondom,,mengingatkan,to remind,ondom,,,,
momoliiu,,lupa,to forget,liiu,,,,
mangapal,,menghafalkan,to memorize,apal,,,,
noliwan,n,terlupa,forgotten,liwan,,,,
mogintutun,,mengenal,"to recognize, know (a person)",tutun,,,,
poporati',,membedakan,to discern,rati',,,,
monimbang ukuman,,"menghakimi, mengadili",to judge,timbang,,,,
mongarap,,mengharapkan,to expect,arap,,,,
sumangka',,menyangka,to suppose,sangka',,,,
kiakal,n,bijaksana,wise,akal,,,,
mapandai,n,pandai,intelligent,pandai,,,,
budu,n,bodoh,numskull,,,bungou,,
bungou,n,bodoh,numskull,,,budu,,
kipandai,n,"mahir, cekatan, cekap","skillful, capable",pandai,,,,
budu,n,tolol,foolish,,,,,
kobudu-buduan,n,dungu,foolish,budu',,,,
bobou,n,bisu,dumb,,,,,
bingung,n,bingung,"mixed up, confused",,,,,
mulau,n,gila,crazy,ulau,,,,
monyusui,,menyelidiki,to do research,susui,,,,
balajar,,belajar,to study,ajar,,,,
monsingilo?,,,,,,,,CHECK_LX
monyingud,,mencium (bau),to smell,singud,,,,
monginam,,mencicipi,to taste,kinam,,momoroso,,
momoroso,,mencicipi,to taste,roso,,monginam,,
maranging,n,"harum, wangi",fragrant,ranging,,,,
owou,n,bau,smell,,,,,
malamis,n,bau hamis,"smelly (like fish), gamey smell",lamis,,,,
moutong,,berbau busuk,to stink,utong,,,,
manting,n,hancing,smelly like urine,,,,,
ujur,n,sakit,sick,,,sumakit,,
sumakit,n,sakit,sick,sakit,,ujur,,
moduol,n,"nyeri, sakit",painful,duol,,,,
pilat,n,luka,sore,,,,,
moduol,n,sakit,ache,duol,,,,
nalama,n,"lelah, capai",weary,lama,,,,
napaya,n,"letih, penat",tired,paya,,,,
lama,,lemah,weak,,,,,
moduol tulang,n,linu,pain in the bones,duol,,,,
modualan do paya,n,pegal,"stiff, painfully tired",duol,,,,
moonsoi rasa',n,sihat,healthy,onsoi,,mosikar,,
mosikar,n,sihat,healthy,sikar,,moonsoi rasa',,
nokobonsoi,n,sembuh,recovered,bonsoi,,intad sumakit,,
intad sumakit,n,sembuh,recovered,,,nokobonsoi,,
madaras,,kuat,strong,,,,,
matagap,n,tegap,"big, husky",tagap,,,,
molombon,n,gemuk,fat,lombon,,,,
motukal,,kurus,thin,tukal,,,,
dinaras,n,kekuatan,strength,daras,,,,
makatol,n,gatal,itchy,katol,,,,
kinakatan,n,gigitan,bite,kokot,,,,
kuog,n,kudis,scabies,,,,,
kurap,n,kaskado (?),scaly skin disease,,,,,
kuris,n,kurap,itchy sores in skin,,,,,
jarawat,n,jerawat,pimple; acne,,,,,
puru,n,"patik, penyakit puru","yaws, framboesia",,,,,
ambulita,n,panau,light spots (skin disease),,,,,
sumarat sorimbutu,n,tegak bulu roma,goose bumps,,,,,
kungkung (makapal),n,"risa, belulang",callus,,,bilulang,,CHECK_LX
bilulang,n,"risa, belulang",callus,,,kungkung (makapal),,
kurap,n,mengelupas,peeled,,,,,
mompuru,n,penyakit kusta,leprosy,,,montulang,,
montulang,n,penyakit kusta,leprosy,,,mompuru,,
kolomputos,n,bisul,boil,,,,,
mimpirog,,gementar,to tremble,pirog,,gumogor,,
gumogor,,gementar,to tremble,gogor,,mimpirog,,
gagaran do mosimuon,n,dingin,"chill, shivering",gogor,,,,
gumogor,,menggigil,to shiver,gogor,,,,
umabo,n,bengkak,swelling,abo,,lumombon,,
lumombon,n,bengkak,swelling,lombon,,umabo,,
kumansang,,kejang,stiff,kansang,,kumodou,,
kumodou,,kejang,stiff,kodou,,kumansang,,
simuon do arip,n,malaria,malaria,simu',,siludung,,
siludung,n,malaria,malaria,,,simuon do arip,,
simuon do arip do utok ulu,n,malaria tropika,cerebral malaria,simu',,,,
paningan,n,pusing,dizzy,paning,,,,
mopadi kokoboon,n,asam sendawa,heartburn,padi,,,,
naatoi nu sakit,n,lumpuh,paralyzed,,,kimoi,,
kimoi,n,lumpuh,paralyzed,,,naatoi nu sakit,,
naatoi koonsian,n,kelumpuhan,paralysis,,"atoi, ansi",,,
longowon,,pilek,"to have, catch a cold",langou,,,,
mongkukul,,batuk,to cough,kukul,,,,
soduon,,tersedu,to hiccough,sodu,,sodu,,
sodu,,tersedu,to hiccough,sodu,,soduon,,
montodiso',,bersin,to sneeze,todiso',,,,
sumikok,,tercekik,to choke,sikok,,,,
ubat,n,ubat,medicine,,,,,
ogot/lopot pilat,n,balut,bandage,,,,,CHECK_LX
tumapik,n,menular,contagious,tapik,,,,
ampus,n,"asma, bengik",asthma,,,ampusan,,
ampusan,n,"asma, bengik",asthma,,,ampus,,
panyakit,n,penyakit,illness,sakit,,,,
paning/moduol ulu,n,sakit/pening kepala,headache,,,,,CHECK_LX
modualan do tinoi',,sakit perut,to have a stomach ache,duol,,,,
sasar,n,cacar,smallpox,,,,,
udir,n,cacar air,chicken pox,,,,,
sariawan,n,"penyakit paru-paru, TB",tuberculosis,,,,,
bongol,,tuli,to be deaf,,,,,
mimang bolou,,buta,to be blind,bolou,,,,
umulau,,gila,to be crazy,ulau,,,,
mompudaa',,berdarah,to bleed,daa',,,,
modualan do dipon,,sakit gigi,to have a toothache,duol,,,,
simuon mantai',n,demam taipus,typhoid fever,simu',,,,
mogilob montoi',n,"penyakit taun, kolera",cholera,,"ilob, toi'/tai'",,,
kimpo',n,timpang,limp,,,,,
simuon,n,demam,fever,simu',,,,
mopilatan,,luka,to be cut,pilat,,,,
mapapandai do panyakit,n,ilmu penyakit,pathology,pandai,,,,
umujur,,jatuh sakit,to be taken ill,ujur,,sumakit,,
sumakit,,jatuh sakit,to be taken ill,sakit,,umujur,,
momorisa do panyakit,,memeriksa,to give a medical examination,porisa,,,,
mongubat,,menyembuhkan,to cure a disease,ubat,,mopobonsoi do moduol,,
mopobonsoi do moduol,,menyembuhkan,to cure a disease,bonsoi,,mongubat,,
pogilayan nu moduol,n,gejala,symptom,iloi',,,,
baloi sumakit,n,rumahsakit,hospital,,,,,
ulun sumakit,n,pasien,patient,,,,,
panyakit mato,n,"sakit rendang, selaput mata",conjunctivitis,,,,,
naadan,n,pengsan,"faint, unconscious",adan,,,,
liningguangon,,cacingan,to suffer from worms,lingguang,,,,
jumadi,,menjadi,to become,jadi,,,,
mongkipapasi,,hidup,to live,pasi,,,,
mogimpapatoi,,meninggal dunia,to die,patoi,,,,
bangkai,n,mayat,corpse,,,,,
mamasi,,menghidupkan kembali,"to revive, resuscitate",pasi,,,,
moganak,,melahirkan,to give birth,anak,,,,
mogontian,,"hamil, mengandung",to be pregnant,gontian,,monontinoi',mononsuang,
monontinoi',,"hamil, mengandung",to be pregnant,tinoi,,mogontian,mononsuang,
mononsuang,,"hamil, mengandung",to be pregnant,suang,,mogontian,monontinoi',
monganak kampang,n,hamil tak sah,illegitimate pregnancy,anak,,,,
pongkuyut,n,bidan,midwife,,,,,
moiduan,n,keguguran,miscarry,idu',,noiduan,,
noiduan,n,keguguran,miscarry,idu',,moiduan,,
anak kampang,n,anak tak sah,illegitimate child,,,,,
naanak kaa sukup bulan,n,"lahir dini, lahir sebelum waktunya",premature birth,anak,,,,
naatoi o,n,(telah) mati,died,atoi,,,,
kapatayon,n,"kematian, maut",death,patoi,,,,
naatoi,,mati,dead,atoi,,,,
noidu',n,keguguran,premature,idu',,,,
inanak kaa sukup bulan,n,lahir sebelum waktunya,premature birth,anak,,,,
lumuui,,berbaring,to lie down,luui,,,,
marata',,rata,flat,rata,,,,
lumoub,,tiarap,to lie face down,loub,,lumaub,,
lumaub,,tiarap,to lie face down,laub,,lumoub,,
luminggata',,telentang,to lie on back,linggata',,,,
tumogiging,n,miring,on one's side,togiging,,,,
lumanat,,belunjur,to lie at full length,lanat,,,,
monungkamang,,menggeletak,to sprawl,tungkamang,,,,
tumudung,,duduk,to sit,tudung,,,,
tumudung tulid,,duduk tegak,to sit up straight,tudung,,,,
lumompom,,bersimpuh,to sit on folded legs,lompom,,,,
tumudung do miampoi tonok,,duduk angkat kaki,to sit with one leg across another,,"tudung, ampoi",,,
tumudung sila,,duduk bersila,to sit crosslegged,tudung,,,,
popotudung,,mendudukkan,to seat,tudung,,,,
mingkakat,,berdiri,to stand up,ingkakat,,,,
sumingkurou,,berjongkok,to squat,singkurou,,,,
mundur,,mundur,"to back up, move back",,,,,
monyurung,,maju,"to move forward, progress",surung,,,,
umunang,,menginjak,to step on,unang,,,,
lumaang,,melangkah,"to stride, step forward",laang,,,,
tumungganang,,membesarkan langkah,to stride aside,tungganang,,,,
popotapap do lapap,,menghentakkan,to stamp,tapap,,,,
gaya' nu panau,n,gaya berjalan,"walk, gait",panau,,,,
mamanau,,berjalan,to walk,panau,,,,
toron o,n,berhenti(lah),"stop, halt!",toron,,,,
popotoron,,berhenti,to stop,toron,,,,
momirau,,membelok,to turn (rt. or lt.),pirau,,,,
kumoili,,menoleh,"to turn around, about face",koili,,,,
mangada',,mengelakkan,to avoid,ada',,,,
moningkod,,bertobat,to stop doing bad,tingkod,,,,
tumingkod,n,letak jawatan,"stop joining, working",tingkod,,,,
tumoron,n,berhenti,stop walking,toron,,,,
mongoi odop,,pergi tidur,to go to bed,odop,,,,
mondudu',n,mengantuk,sleepy,dudu',,,,
modop,,tidur,to sleep,odop,,,,
moginipi',,bermimpi,to dream,inipi',,,,
mogompuang,,mengigau,to talk in sleep,ompuang,,,,
moninggorok,,mendengkur,to snore,gorok,,,,
odop manuk,n,tidur ayam,half asleep,odop,,,,
majagaan,,ketiduran,to oversleep,jaga',,,,
modop molobong,,tidur nyenyak,to sleep soundly,odop,,mobolong odop,,
mobolong odop,,tidur nyenyak,to sleep soundly,odop,,modop molobong,,
monudau,,membangunkan,"to waken, arouse",tudau,,,,
tumudau intad bolong odop,,bangun,"to wake up, awake (from sound sleep)",tudau,,,,
mingkakat,,bangun,"to get up, rise",ingkakat,,tumungag,,
tumungag,,bangun,"to get up, rise",tungag,,mingkakat,,
nokoodop,,tertidur,to fall asleep,odop,,,,
mamalik,,membalik,to turn over,balik,,,,
moningaub,,membalik bahagian atas ke bawah,to turn upside down,tinggaub,,,,
undorong,n,istirahat,rest,,,,,
motos,,tenang,to be quiet,otos,,,,
mogindad,,menunggu,to wait (for),indad,,,,
tumoron,,berhenti,to stop,toron,,,,
tumoron mamanau,,berhenti berjalan,to stop walking,toron,,,,
mundorong,,beristirahat,to get rest,undorong,,,,
mananda',,membuat,"to make, do",tanda',,,,
karaja',n,pekerjaan,work,,,,,
mangaraja',,bekerja,to work,karaja',,,,
kinaraja',n,tugas,task,karaja',,,,
magagau,n,sibuk,busy,gagau,,,,
mugad,,pergi,to go,ugad,,mongoi,,
mongoi,,pergi,to go,ongoi,,mugad,,
rumikot,,"tiba, sampai",to arrive,rikot,,,,
sumuon,,masuk,"to enter, go in",suon,,sumuang,,
sumuang,,masuk,"to enter, go in",suang,,sumuon,,
gumuli',,"balik, kembali",to return,guli',,popoguli',,
popoguli',,"balik, kembali",to return,guli',,gumuli',,
momutar,,memutar,to turn,putar,,momulas,,
momulas,,memutar,to turn,pulas,,momutar,,
lumiput,,berkeliling,to go around,liput,,,,
popoliput gumuli',,"memutar kembali, berbalik","to turn around, back",liput,,,,
sumimpang,,menyimpang,to swerve,simpang,,,,
mangada',,meloncat ke sisi,to dodge,ada',,,,
mingguguli',,hilir mudik,to and fro,guli',,,,
mingguli-guli',,pulang balik,to and fro,guli',,,,
mangantos,,memintas,to take a short cut,antos,,,,
tumalib,,melewati,to go past,talib,,,,
sumoborong,,menyeberang,to go across,soborong,,,,
mapalid,,"tersesat, kesasar",to be lost,palid,,,,
mogimpanau,,mengembara,to wander,panau,,,,
lumabus,,melepaskan diri,to escape,labus,,,,
mogidu',,melarikan diri,to run away,idu',,,,
sumimbul,,lari,to run,simbul,,mogidu',,
mogidu',,lari,to run,idu',,sumimbul,,
tumindak,,"melompat, meloncat",to jump,tindak,,,,
momua',,memanjat,to climb tree,pua',,,,
tumakad,,mendaki,to climb hill,takad,,,,
magasu,,memburu,to hunt,asu,,,,
mangaya',,mengikut,to go with,waya,,,,
mogisusunu',,beriring-iring,to walk in file,sunu',,,,
mogalau,,mengejar,"to pursue, chase (to seize)",alau,,,,
misumbaya',,berjalan bersama-sama,to go with,sumbaya',,,,
tumamu,,bertemu,to meet (in the street),tamu,,mitamu,,
mitamu,,bertemu,to meet (in the street),tamu,,tumamu,,
momurut,,menjemput,to pick up,purut,,,,
tumimung,,berkumpul,to assemble,timung,,,,
sumoborong,,mengarungi,to wade across,soborong,,sumarug,,
sumarug,,mengarungi,to wade across,sarug,,sumoborong,,
ginalud,n,jarak,distance,galud,,,,
magalud,,jauh,far,galud,,,,
magaad,,dekat,near,gaad,,,,
mindakod,,naik,to go up,indakod,,minsawat,,
minsawat,,naik,to go up,sawat,,mindakod,,
mangakat,,mengangkat,"to raise, lift",kakat,,popoinsawat,,
popoinsawat,,mengangkat,"to raise, lift",sawat,,mangakat,,
mingkakat,,berdiri,to stand up,kakat,,,,
mingkakat,,bangun,to rise up,kakat,,,,
mindakod,,naik ke atas,to go upstairs,indakod,,momua' do tukad,,
momua' do tukad,,naik ke atas,to go upstairs,pua',,mindakod,,
tumuun,,turun,to go down,tuun,,,,
mongibit tumuun,,membawa turun,to bring down,,"ibit, tuun",popotuun,,
popotuun,,membawa turun,to bring down,tuun,,mongibit tumuun,,
paparatu',,menjatuhkan,to drop,ratu',,,,
popolapas,,melepaskan,"to release, free",lapas,,,,
lumabus intad,,melepaskan diri,to escape from,labus,,,,
popotuun,,menurunkan,to bring down,tuun,,,,
maratu',n,jatuh,fall,ratu',,mourung,,
mourung,n,jatuh,fall,urung,,maratu',,
mokourung do,,menimpa,to fall on something,urung,,,,
rumatu',,gugur,to drop (leaves),ratu',,umurung,,
umurung,,gugur,to drop (leaves),urung,,rumatu',,
mokosuang,,jatuh ke dalam,to fall into,suang,,,,
popoubus,,menumpahkan,to spill,ubus,,,,
popoiib,,menuang,to pour out,iib,,,,
mopojojob,,mencelup,"to dip, immerse",jojob,,,,
tumuru',,"menitik, menetes",to drip,turu',,,,
momojojok,,menekan,to press down,jojok,,popojojok,,
popojojok,,menekan,to press down,jojok,,momojojok,,
tumindak,,meloncat ke bawah,to jump down,tindak,,,,
mangurau,,meruntuhkan,to overthrow,urau,,,,
popobadung,,"menyungsang, membalikkan",to turn upside down,badung,,,,
naurau,,runtuh,to collapse (itr.),urau,,umurau,,
umurau,,runtuh,to collapse (itr.),urau,,naurau,,
nounsut,n,terperosok,stepped in (a hole),unsut,,,,
nakatakis,n,terpelanting,thrown to one side,takis,,,,
manyurung,,"mendorong, menyorongkan","to push, to move over",surung,,poposurung,,
poposurung,,"mendorong, menyorongkan","to push, to move over",surung,,manyurung,,
popodoribau,,,,ribau,,,,
sumumpak,,tersungkur,to fall forward,sumpak,,nokosumpak,,
nokosumpak,,tersungkur,to fall forward,sumpak,,sumumpak,,
popolandai,,meluncur,"to slip, skid",landai,,,,
lumandai,,merosot,to slip off,landai,,,,
popotokon,,melontar,to throw spear,tokon,,,,
sumandig,,bersandar,to lean on,sandig,,,,
nokotudung,,jatuh terduduk,to fall into a sitting position,tudung,,,,
nokotutu ulu,,jatuh terbalik,to fall head first,tutu,,notuntuad,,
notuntuad,,jatuh terbalik,to fall head first,tuntuad,,nokotutu ulu,,
nakababo',,jatuh tertelentang,to fall on one's back,babo,,,,
sumalura',,keluar,to go out,salura',,,,
mongibit,,membawa,to take away,ibit,,,,
mongubul,,mencabut,"to extract, pull out",ubul,,,,
magalap,,mengambil,to take out,alap,,,,
popoibit,,mengirim,to send,ibit,,,,
poposolura',,mengeluarkan,to take out from,solura',,,,
monusub,,menyuruh,to send a boy,susub,,monyusub,,
